"","stop_words"
"1","a"
"2","abbastanza"
"3","abbia"
"4","abbiamo"
"5","abbiano"
"6","abbiate"
"7","accidenti"
"8","ad"
"9","adesso"
"10","affinche"
"11","agl"
"12","agli"
"13","ahime"
"14","ahimã¨"
"15","ahimè"
"16","ai"
"17","al"
"18","alcuna"
"19","alcuni"
"20","alcuno"
"21","all"
"22","alla"
"23","alle"
"24","allo"
"25","allora"
"26","altre"
"27","altri"
"28","altrimenti"
"29","altro"
"30","altrove"
"31","altrui"
"32","anche"
"33","ancora"
"34","anni"
"35","anno"
"36","ansa"
"37","anticipo"
"38","assai"
"39","attesa"
"40","attraverso"
"41","avanti"
"42","avemmo"
"43","avendo"
"44","avente"
"45","aver"
"46","avere"
"47","averlo"
"48","avesse"
"49","avessero"
"50","avessi"
"51","avessimo"
"52","aveste"
"53","avesti"
"54","avete"
"55","aveva"
"56","avevamo"
"57","avevano"
"58","avevate"
"59","avevi"
"60","avevo"
"61","avrai"
"62","avranno"
"63","avrebbe"
"64","avrebbero"
"65","avrei"
"66","avremmo"
"67","avremo"
"68","avreste"
"69","avresti"
"70","avrete"
"71","avrà"
"72","avrò"
"73","avuta"
"74","avute"
"75","avuti"
"76","avuto"
"77","basta"
"78","ben"
"79","bene"
"80","benissimo"
"81","berlusconi"
"82","brava"
"83","bravo"
"84","buono"
"85","c"
"86","casa"
"87","caso"
"88","cento"
"89","certa"
"90","certe"
"91","certi"
"92","certo"
"93","che"
"94","chi"
"95","chicchessia"
"96","chiunque"
"97","ci"
"98","ciascuna"
"99","ciascuno"
"100","cima"
"101","cinque"
"102","cio"
"103","cioe"
"104","cioã¨"
"105","cioè"
"106","circa"
"107","citta"
"108","città"
"109","cittã"
"110","ciã²"
"111","ciò"
"112","co"
"113","codesta"
"114","codesti"
"115","codesto"
"116","cogli"
"117","coi"
"118","col"
"119","colei"
"120","coll"
"121","coloro"
"122","colui"
"123","come"
"124","cominci"
"125","comprare"
"126","comunque"
"127","con"
"128","concernente"
"129","conciliarsi"
"130","conclusione"
"131","consecutivi"
"132","consecutivo"
"133","consiglio"
"134","contro"
"135","cortesia"
"136","cos"
"137","cosa"
"138","cosi"
"139","cosã¬"
"140","così"
"141","cui"
"142","d"
"143","da"
"144","dagl"
"145","dagli"
"146","dai"
"147","dal"
"148","dall"
"149","dalla"
"150","dalle"
"151","dallo"
"152","dappertutto"
"153","davanti"
"154","degl"
"155","degli"
"156","dei"
"157","del"
"158","dell"
"159","della"
"160","delle"
"161","dello"
"162","dentro"
"163","detto"
"164","deve"
"165","devo"
"166","di"
"167","dice"
"168","dietro"
"169","dire"
"170","dirimpetto"
"171","diventa"
"172","diventare"
"173","diventato"
"174","dopo"
"175","doppio"
"176","dov"
"177","dove"
"178","dovra"
"179","dovrà"
"180","dovrã"
"181","dovunque"
"182","due"
"183","dunque"
"184","durante"
"185","e"
"186","ebbe"
"187","ebbero"
"188","ebbi"
"189","ecc"
"190","ecco"
"191","ed"
"192","effettivamente"
"193","egli"
"194","ella"
"195","entrambi"
"196","eppure"
"197","era"
"198","erano"
"199","eravamo"
"200","eravate"
"201","eri"
"202","ero"
"203","esempio"
"204","esse"
"205","essendo"
"206","esser"
"207","essere"
"208","essi"
"209","ex"
"210","fa"
"211","faccia"
"212","facciamo"
"213","facciano"
"214","facciate"
"215","faccio"
"216","facemmo"
"217","facendo"
"218","facesse"
"219","facessero"
"220","facessi"
"221","facessimo"
"222","faceste"
"223","facesti"
"224","faceva"
"225","facevamo"
"226","facevano"
"227","facevate"
"228","facevi"
"229","facevo"
"230","fai"
"231","fanno"
"232","farai"
"233","faranno"
"234","fare"
"235","farebbe"
"236","farebbero"
"237","farei"
"238","faremmo"
"239","faremo"
"240","fareste"
"241","faresti"
"242","farete"
"243","farà"
"244","farò"
"245","fatto"
"246","favore"
"247","fece"
"248","fecero"
"249","feci"
"250","fin"
"251","finalmente"
"252","finche"
"253","fine"
"254","fino"
"255","forse"
"256","forza"
"257","fosse"
"258","fossero"
"259","fossi"
"260","fossimo"
